Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Quarter,DayOfWeek,Week,Daily_Return,Cumulative_Return,Price_Change,Up_Down,SMA_20,SMA_50,EMA_20,BB_Mid,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist,Volume_MA
2025-04-22,2742.9628471383867,2799.5085550179124,2734.0345774731986,2794.647705078125,3193757,0.0,0.0,2025,April,Q2,Tuesday,17,,,51.68485793973832,Up,,,2794.647705078125,,,,,0.0,0.0,0.0,
2025-04-23,2807.444884070858,2899.703673547391,2803.476764093373,2894.545166015625,3906215,0.0,0.0,2025,April,Q2,Wednesday,17,3.574599430045411,103.57459943004541,87.10028194476718,Up,,,2804.1617489769346,,,,,7.969028222934867,1.5938056445869735,6.375222578347893,
2025-04-24,2894.5450714587305,2904.6637286318046,2842.165841028046,2878.275634765625,2488496,0.0,0.0,2025,April,Q2,Thursday,17,-0.5620755703181879,102.99243190959419,-16.26943669310549,Down,,,2811.2202142901433,,,,,12.823899372266169,3.839824390122813,8.984074982143357,
2025-04-25,2878.2755351818114,2916.1712721735707,2808.5360250244426,2841.3720703125,2299310,0.0,0.0,2025,April,Q2,Friday,17,-1.2821414324389435,101.67192326780483,-36.90346486931139,Down,,,2814.091819625606,,,,,13.53755795884581,5.779371103867412,7.758186854978398,
2025-04-28,2895.6362195095176,2921.528298934882,2859.3280674610387,2907.2431640625,1864672,0.0,0.0,2025,April,Q2,Monday,18,2.3182846920415834,104.02896790102662,11.60694455298244,Up,,,2822.963376238644,,,,,19.197092159626663,8.462915315019263,10.7341768446074,
2025-04-29,2926.4883129510827,2945.8328967146576,2878.6725184462334,2886.410400390625,2051228,0.0,0.0,2025,April,Q2,Tuesday,18,-0.7165813967471513,103.28351566981982,-40.07791256045766,Down,,,2829.0059499674044,,,,,21.750556985164167,11.120443649048244,10.630113336115922,
2025-04-30,2885.616919482819,2925.397177263029,2863.9906169910637,2905.45751953125,2689753,0.0,0.0,2025,April,Q2,Wednesday,18,0.6598894993604221,103.96507274429523,19.840600048431043,Up,,,2836.287051830628,,,,,25.02269355217186,13.900893629672968,11.12179992249889,
2025-05-02,2926.48833766527,2976.089834913834,2887.005497416451,2893.94970703125,2868096,0.0,0.0,2025,May,Q2,Friday,18,-0.39607574444442406,103.55329230846107,-32.53863063402014,Down,,,2841.7787332783064,,,,,26.383172275016022,16.39734935874158,9.985822916274444,
2025-05-05,2925.396986669802,3019.7391306315158,2914.2862998055202,2997.41845703125,4049197,0.0,0.0,2025,May,Q2,Monday,19,3.5753472062285185,107.25568205196927,72.02147036144788,Up,,,2856.6015641119197,,,,,35.40232885530713,20.19834525805469,15.203983597252442,
2025-05-06,3125.489635144685,3134.516962308668,3031.643505663436,3043.944580078125,5683215,0.0,0.0,2025,May,Q2,Tuesday,19,1.5522064641236621,108.92051168191985,-81.54505506656005,Down,,,2874.443756108701,,,,,45.77665987944147,25.314008182332046,20.462651697109422,
2025-05-07,2997.815243470502,3100.0936293685554,2997.815243470502,3095.0341796875,2942902,0.0,0.0,2025,May,Q2,Wednesday,19,1.6784011096569795,110.74863475863326,97.21893621699792,Up,,,2895.4523678781106,,,,,57.45854928451763,31.742916402769165,25.715632881748466,
2025-05-08,3102.4745041428077,3111.998088956338,2984.5222348183433,3008.92626953125,3323894,0.0,0.0,2025,May,Q2,Thursday,19,-2.782131154523926,107.6674624878034,-93.54823461155775,Down,,,2906.2594061307905,,,,,59.08722137820132,37.2117773978556,21.87544398034572,
2025-05-09,2937.996148645794,3032.735013767293,2931.4486537594676,2958.332763671875,2308852,0.0,0.0,2025,May,Q2,Friday,19,-1.6814471784068252,105.85709097774001,20.336615026080835,Up,,,2911.218773515656,,,,,55.65393868927731,40.90020965613994,14.753729033137368,
2025-05-12,3020.4335255566752,3087.3955468542435,3009.521196160035,3079.955322265625,2166730,0.0,0.0,2025,May,Q2,Monday,20,4.111185870881973,110.20907274534353,59.52179670894975,Up,,,2927.2889210156527,,,,,62.031896371367566,45.126546999185464,16.9053493721821,
2025-05-13,3025.691419302203,3086.205247688247,3010.8109696990773,3029.461181640625,2681662,0.0,0.0,2025,May,Q2,Tuesday,20,-1.6394439315391196,108.40225679021447,3.7697623384219696,Up,,,2937.019612503745,,,,65.04767149691943,62.29393295139471,48.56002418962731,13.733908761767395,
